fold,train_end,test_start,test_end,n_train_rows,n_test_rows,baseline_wape,model_wape,baseline_bias,model_bias,improvement_percent
1,2023-11-05,2023-11-12,2023-12-31,17594,1597,1.152211517059366,0.15859718267959205,-2.4994781882696717,-0.1082831357016018,86.23541074434335
2,2023-09-10,2023-09-17,2023-11-05,16066,1528,1.2274600557950799,0.18400157699137315,1.1465968586387434,1.797649959704143,85.0095670223511
3,2023-07-16,2023-07-23,2023-09-10,14585,1481,1.2288319716025582,0.1952606246917649,0.10330857528696827,-0.2747616794079777,84.11006311651222
4,2023-05-21,2023-05-28,2023-07-16,13140,1445,1.1981011202733336,0.17907000920386376,-0.13771626297577855,0.6272029650251019,85.05384844619702
